genes,T63,T64,T65,T66,T67,T68
YBL030C,131.676,135.391,125.598,46.964,63.445,917.413
YBL055C,0,0,31.874,0,0,29.103
YDL003W,92.603,50.782,117.771,52.845,53.542,0
YDL042C,18.652,0,0,26.61,0,0
YDL126C,12.561,51.662,47.926,179.206,72.628,58.344
YDR113C,0,0,0,0,0,0
YDR326C,0,0,0,0,0,8.474
YER019W,0,0,0,31.342,21.171,0
YER110C,28.28,90.463,0,13.448,45.42,43.784
YER112W,335.143,382.888,71.039,159.379,161.481,64.861
YFL010C,198.135,135.817,62.997,70.668,214.801,115.037
YGL160W,0,0,46.779,0,0,21.355
YGR098C,6.438,0,0,0,0,0
YGR192C,3366.522,2935.06,4188.026,5685.712,2891.762,26699.14
YHL007C,11.171,0,0,0,10.765,12.972
YHR155W,0,46.856,32.6,12.19,0,9.922
YHR179W,52.375,0,233.135,410.967,100.943,91.227
YIL016W,196.896,269.936,250.411,374.54,189.741,228.637
YIL065C,134.63,0,256.832,96.036,0,156.333
YIL097W,0,0,0,0,19.574,0
YJL112W,0,0,0,20.953,0,0
YJL124C,485.602,166.434,154.396,259.797,292.471,211.456
YJL194W,0,28.009,77.949,29.147,19.688,47.447
YJL208C,31.822,87.252,80.941,0,30.665,36.951
YJR009C,989.492,903.109,1901.988,1786.288,1447.393,10026.47
YJR089W,10.996,0,13.985,31.375,10.596,12.769
YKL056C,4875.529,4456.085,6439.152,6153.164,5541.631,4572.731
YKR036C,0,0,0,0,0,0
YKR071C,120.357,41.251,267.871,300.491,86.987,384.337
YLL001W,13.854,0,0,0,13.35,16.087
YLR150W,153.301,2101.691,97.484,218.71,1514.232,1691.132
YML078W,975.516,865.368,729.797,1555.468,552.978,732.97
YML120C,40.86,112.036,25.983,0,39.375,0
YMR074C,359.628,197.213,640.322,410.455,415.87,250.561
YMR095C,46.672,0,0,0,0,0
YNL055C,73.952,760.383,141.077,369.265,1425.282,1288.093
YNL098C,32.511,44.571,82.695,139.148,31.33,377.522
YNL118C,32.444,0,13.754,15.429,20.843,25.116
YNL123W,21.044,0,26.764,15.012,10.14,0
YNL186W,39.727,18.155,16.841,37.785,0,15.377
YNL305C,0,96.621,89.633,50.274,33.958,81.839
YNR074C,27.707,37.986,176.191,0,0,0
YOL002C,0,0,41.998,0,0,38.346
YOL149W,90.527,124.108,115.132,0,87.237,105.12
YOR043W,21.563,29.562,0,0,20.779,0
YOR197W,24.252,33.248,61.687,34.6,23.371,56.323
YOR297C,163.23,74.594,138.397,388.125,0,0
YPL116W,0,20.625,0,21.464,0,0
YPL123C,0,33.096,0,0,46.526,28.032
YPL171C,0,0,0,0,0,0
YPR048W,0,0,0,24.009,0,0