genes,T51,T52,T53,T54,T55,T56
YBL030C,484.556,485.263,170.965,168.686,397.029,388.487
YBL055C,69.546,65.468,138.498,142.308,92.305,95.98
YDL003W,94.23,90.578,75.22,77.258,90.998,95.176
YDL042C,8.181,9.373,6.367,6.863,8.354,10.345
YDL126C,280.797,278.689,703.344,701.665,530.277,523.993
YDR113C,22.66,25.202,15.975,16.313,15.303,17.839
YDR326C,12.248,11.813,12.009,11.928,11.263,10.118
YER019W,28.522,25.281,42.626,45.438,25.311,26.373
YER110C,81.947,80.019,48.929,49.327,50.411,49.17
YER112W,121.68,126.627,123.86,121.804,169.4,169.012
YFL010C,85.939,89.322,186.022,209.058,128.819,143.818
YGL160W,40.224,36.401,65.678,63.325,82.173,86.698
YGR098C,7.794,6.816,7.74,8.18,7.07,7.255
YGR192C,13686.372,13866.416,14021.702,14523.735,13315.696,13291.684
YHL007C,20.057,20.098,24.902,24.707,19.924,22.078
YHR155W,9.694,9.8,18.249,17.011,12.91,13.617
YHR179W,183.393,187.943,778.662,781.923,417.518,416.964
YIL016W,109.006,103.975,108.003,116.936,118.648,119.108
YIL065C,65.348,66.102,118.825,122.542,68.655,62.38
YIL097W,9.681,7.947,21.927,24.31,16.77,14.188
YJL112W,43.804,45.238,37.11,38.455,44.621,44.285
YJL124C,111.642,118.747,153.196,157.756,131.351,142.544
YJL194W,10.454,10.109,8.524,8.309,6.505,6.598
YJL208C,82.441,76.411,35.56,39.934,42.329,42.558
YJR009C,2471.129,2466.229,3581.999,3694.85,3005.673,2978.16
YJR089W,11.768,12.696,23.87,23.552,23.557,22.04
YKL056C,5232.064,5271.742,3002.272,3093.115,3677.834,3739.217
YKR036C,13.207,13.323,19.697,18.442,16.279,17.057
YKR071C,181.772,175.666,177.251,177.028,176.579,178.919
YLL001W,25.683,31.194,36.945,39.225,36.707,34.187
YLR150W,1891.774,1902.897,954.175,1011.343,1483.597,1553.686
YML078W,166.114,180.273,199.908,193.365,178.519,185.72
YML120C,52.511,50.077,31.951,31.099,55.179,56.87
YMR074C,321.991,344.593,355.918,385.84,300.028,299.182
YMR095C,51.586,50.485,39.627,41.035,41.682,37.517
YNL055C,154.286,162.683,321.711,326.819,307.283,311.114
YNL098C,304.777,298.925,410.925,427.008,427.902,420.195
YNL118C,46.17,46.254,54.273,55.711,48.614,48.554
YNL123W,43.105,39.635,36.902,34.234,34.892,31.099
YNL186W,32.603,35.15,22.564,21.645,17.722,19.244
YNL305C,49.356,50.824,136.54,140.583,79.867,78.547
YNR074C,131.249,127.751,159.582,155.289,157.144,159.019
YOL002C,95.111,102.729,114.849,115.753,83.576,79.518
YOL149W,88.147,87.506,84.522,77.139,97.581,96.602
YOR043W,46.406,40.281,43.348,40.924,35.665,38.678
YOR197W,65.525,66.328,187.514,188.244,104.502,111.179
YOR297C,41.525,41.533,49.213,55.425,48.3,44.119
YPL116W,21.512,23.026,21.245,21.677,20.418,20.332
YPL123C,16.659,16.946,57.686,57.223,35.89,32.285
YPL171C,0.766,0.703,3.362,2.029,1.696,1.93
YPR048W,44.976,44.993,42.914,39.826,39.822,38.574